id,duration,distance,build_up_duration,shot_technique_normal,shot_technique_lob,shot_technique_half_volley,shot_open_goal,pass_height_name,pass_cut_back,pass_through_ball,follows_goalkeeper,follows_dribble,pass_cross,goal,player_name,team_name,match_id,x_loc,y_loc,pass_player_name
28a778aa-343c-43c1-a5ad-9de798baa9a4,0.0896,33.12657543423406,8.7584,1,0,0,0,0,0,0,0,0,0,0,Guilherme Magdalena Siqueira,Atlético Madrid,266631,93.9,19.6,Antoine Griezmann
d2c171ca-45f0-4471-b84f-c0b484887802,1.108,12.571793825862722,3.429,1,0,0,0,0,0,0,0,0,1,0,Luis Alberto Suárez Díaz,Barcelona,9620,109.3,33.4,Andrés Iniesta Luján
8fe2d246-4658-441f-8b47-96658ef756c8,0.1488,20.120636172845032,38.3822,1,0,0,0,0,1,0,0,0,0,0,Francisco Alcácer García,Barcelona,9673,104.0,52.2,Nélson Cabral Semedo
da4449ec-3486-4569-adfa-0dca54e9dbd8,1.268449,27.43082208028042,48.40055100000001,1,0,0,0,0,0,0,0,0,0,0,Willian José da Silva,Real Sociedad,9948,94.7,29.4,Mikel Oyarzabal Ugarte
bbd8f7c4-264f-4328-b584-e54d45d4ca0e,1.97219,16.783920876839233,38.13,0,0,0,0,2,0,0,0,0,1,1,Lionel Andrés Messi Cuccittini,Barcelona,9742,104.7,33.1,Jordi Alba Ramos
0063707c-e0b2-46dd-ac58-1638ed4b44e7,1.149871,14.317821063276353,11.462,1,0,0,0,0,0,0,0,0,0,0,Lionel Andrés Messi Cuccittini,Barcelona,9855,114.0,53.0,Ousmane Dembélé
6fd57f6e-6c78-4a6c-9fa9-553d32fb6d0d,0.4284,8.993886812718962,25.703799999999998,1,0,0,0,1,0,0,0,0,0,0,Gerard Moreno Balaguero,Villarreal,16079,114.0,46.7,Álvaro González Soberón
4b1920db-2634-431b-9666-d422c4e6df84,0.9533,19.880643852752854,25.1789,1,0,0,0,0,0,0,0,0,0,0,Mario Gaspar Pérez Martínez,Villarreal,16079,104.0,51.8,Gerard Moreno Balaguero
3f135c57-b36a-4d9a-9da2-e0eb469d9350,1.067032,17.123083834403193,11.579004000000001,1,0,0,0,1,0,0,0,0,1,0,Sergio Enrich Ametller,Eibar,16317,104.2,33.4,José Ángel Valdés Díaz
4f69fe54-2d17-4096-a96c-57e60cd08457,0.824476,17.630938715791622,40.693968000000005,1,0,0,0,0,0,0,0,0,0,0,Lionel Andrés Messi Cuccittini,Barcelona,16109,102.7,36.6,Jordi Alba Ramos
974a99a6-da94-40f0-ae97-68213fbc1d1f,1.475481,24.62214450449026,9.5915,0,1,0,0,1,0,0,0,0,0,0,Iñaki Williams Arthuer,Athletic Bilbao,16010,96.0,34.5,Raúl García Escudero
5446acff-3e24-4ef6-b6b2-767b55c89052,2.3298,19.02629759044045,11.502505000000001,1,0,0,0,0,0,0,0,0,0,0,Karim Benzema,Real Madrid,16196,107.8,25.4,Sergio Reguilón Rodríguez
8ac48b3f-81e7-45a3-ac6f-268144a932dc,0.471774,14.026403673073151,11.202735,1,0,0,0,0,0,0,0,0,1,0,Neymar da Silva Santos Junior,Barcelona,70302,109.5,30.7,Xavier Hernández Creus
