id,duration,distance,build_up_duration,shot_technique_half_volley,shot_technique_lob,shot_technique_normal,shot_open_goal,pass_height_name,pass_cut_back,pass_through_ball,follows_goalkeeper,follows_dribble,pass_cross,goal,player_name,team_name,match_id,x_loc,y_loc,pass_player_name,xg,xa
ae48eaf9-5d33-431f-9bf3-3f80955793ea,0.522165,11.900420160649796,0.0,0,0,1,,,,,0,0,,1,Daniel Parejo Muñoz,Valencia,16157,108.1,40.1,,0.8108108108108107,0
ed663118-b422-4ace-8f87-1ce6defcb538,0.3087,11.900420160649796,0.0,0,0,1,,,,,0,0,,1,Lionel Andrés Messi Cuccittini,Barcelona,266613,108.1,40.1,,0.8108108108108107,0
037d339a-6ceb-47bd-b4ab-8eff64d82e4c,0.4134,11.900420160649796,0.0,0,0,1,,,,,0,0,,1,Francisco Manuel Rico Castro,Granada,267343,108.1,39.9,,0.8108108108108107,0
b539611e-8ca2-429c-a40b-fc33b7d9a9da,0.513131,12.0,0.0,0,0,1,,,,,0,0,,1,Lionel Andrés Messi Cuccittini,Barcelona,266741,108.0,40.0,,0.8108108108108107,0
6f453117-6bf5-4bd6-aa2a-a81c5d25b4e9,0.6217,11.900420160649796,0.0,0,0,1,,,,,0,0,,1,Neymar da Silva Santos Junior,Barcelona,265866,108.1,40.1,,0.8108108108108107,0
04ae75b2-26c4-4865-9cb0-2efcdcd075d7,0.4784,11.900420160649796,0.0,0,0,1,,,,,0,0,,1,Luis Alberto Suárez Díaz,Barcelona,15973,108.1,40.1,,0.8108108108108107,0
00760352-2e05-4ef1-9a29-7f556c3f4ce0,0.769673,11.900420160649796,0.0,0,0,1,,,,,0,0,,1,Luis Alberto Suárez Díaz,Barcelona,16029,108.1,40.1,,0.8108108108108107,0
034c6651-79e7-4661-8566-69d4f2842716,0.856154,12.000416659433121,0.0,0,1,0,,,,,1,0,,1,Lionel Andrés Messi Cuccittini,Barcelona,265963,108.0,39.9,,0.8108108108108107,0
7ced49b4-4159-45af-adad-575190965048,0.433768,11.900000000000006,0.0,0,0,1,,,,,0,0,,0,Daniel Parejo Muñoz,Valencia,266525,108.1,40.0,,0.8108108108108107,0
311eee2b-56a1-45ea-8d12-dc950c3d1fbc,0.3856,12.099999999999994,0.0,0,0,1,,,,,1,0,,1,Lionel Andrés Messi Cuccittini,Barcelona,70277,107.9,40.0,,0.8108108108108107,0
