,duration,distance,shot_one_on_one,angle,shot_technique_3,shot_technique_6,shot_body_part_name,shot_technique_1,pass_height_name,shot_technique_5,shot_technique_4,shot_technique_2,pass_through_ball,distance_to_nearest_opponent_na,goal
55,0.9329999999999999,26.41968962724581,0,0.5144513130590277,0,0,0,0,-1,0,1,0,0,0,0
56,1.173,9.848857801796104,0,0.41822432957922906,0,0,0,0,-1,0,1,0,0,0,1
57,0.4,31.89043743820395,0,0.7188299996216245,0,0,0,0,-1,0,1,0,0,0,0
58,0.493,11.180339887498945,0,0.4636476090008061,0,0,0,0,-1,0,1,0,0,0,0
59,1.133,25.632011235952593,0,0.35877067027057225,0,0,0,0,-1,0,1,0,0,0,0
60,1.2930000000000001,27.29468812791236,0,0.1470783553884025,0,0,0,0,-1,0,1,0,0,0,0
61,0.22699999999999998,24.738633753705958,0,0.2449786631268641,0,0,0,0,-1,0,0,1,0,0,0
62,1.8,10.44030650891055,0,1.2793395323170296,0,0,0,0,-1,0,1,0,0,0,0
63,0.32,25.495097567963924,0,0.1973955598498808,0,1,0,0,-1,0,0,0,0,0,0
64,0.32,8.06225774829855,0,0.12435499454676145,0,0,0,0,-1,0,1,0,0,0,0
65,1.053,25.0,0,0.0,0,0,0,0,-1,0,0,1,0,0,0
66,0.763,14.31782106327635,0,0.21109333322274654,0,0,0,0,-1,0,1,0,0,0,0
67,1.8530000000000002,27.784887978899608,0,0.5280744484263596,1,0,0,0,-1,0,0,0,0,0,0
68,0.96,27.29468812791236,0,0.4964227534048818,0,0,0,0,-1,0,1,0,0,0,0
69,0.813,21.40093455903269,0,0.9179496956941224,0,0,0,0,-1,0,1,0,0,0,0
70,1.5330000000000001,27.313000567495326,0,0.414506874584786,0,0,0,0,-1,0,1,0,0,0,0
71,0.36,17.4928556845359,0,0.5404195002705842,0,0,0,0,-1,0,1,0,0,0,0
72,1.92,17.464249196572982,0,0.4124104415973873,0,0,0,0,-1,1,0,0,0,0,0
73,3.053,45.69463863518345,0,0.4048917862850834,0,0,0,0,-1,0,1,0,0,0,0
74,0.45299999999999996,20.518284528683196,0,0.7509290623979403,0,1,0,0,-1,0,0,0,0,0,0
75,0.9329999999999999,17.804493814764854,0,0.9048270894157868,0,1,0,0,-1,0,0,0,0,0,0
76,0.45299999999999996,13.038404810405297,0,0.5667292175235064,0,0,0,0,-1,0,1,0,0,0,0
77,0.293,16.1245154965971,0,0.12435499454676145,0,1,0,0,-1,0,0,0,0,0,0
78,1.053,15.0,0,0.6435011087932844,0,0,0,0,-1,0,1,0,0,0,0
79,1.053,27.85677655436824,0,0.3671738338182192,0,0,0,0,-1,0,1,0,0,0,0
80,0.88,25.238858928247925,0,0.5880026035475675,0,0,0,0,-1,0,1,0,0,0,0
81,0.88,24.166091947189145,0,0.4266274931268761,0,0,0,0,-1,0,1,0,0,0,0
82,1.04,27.802877548915692,0,0.9129077216126866,0,0,0,0,-1,0,1,0,0,0,0
83,1.3330000000000002,23.19482700948641,0,0.1297025371559121,0,0,0,0,-1,0,1,0,0,0,0
84,0.16,15.132745950421555,0,0.13255153229667402,0,0,0,0,-1,0,1,0,0,0,0
85,0.187,31.01612483854165,0,0.3625442372645076,0,0,0,0,-1,0,1,0,0,0,0
86,0.773,33.0,0,0.0,0,0,0,0,-1,0,1,0,0,0,0
87,0.24,25.94224354214569,0,0.4808872801953358,0,0,0,0,-1,0,1,0,0,0,0
88,1.2930000000000001,28.63564212655271,0,0.4324077755705377,0,0,0,0,-1,0,1,0,0,0,0
89,1.493,26.87005768508881,0,0.7853981633974483,0,0,0,0,-1,0,1,0,0,0,0
90,0.8,16.278820596099706,0,0.1853479499956948,0,0,0,0,-1,0,1,0,0,0,0
91,0.24,35.440090293338706,0,0.2860514417173182,0,0,0,0,-1,0,1,0,0,0,0
92,0.37200000000000005,25.079872407968914,0,0.07982998571223733,0,0,0,0,-1,0,1,0,0,0,0
93,0.48,21.93171219946131,0,0.4228539261329407,0,0,0,0,-1,0,1,0,0,0,0
94,0.36,30.479501308256346,0,0.8550527371260165,0,0,0,0,-1,0,1,0,0,0,0
95,1.173,34.48187929913333,0,0.2942345651111878,0,0,0,0,-1,0,1,0,0,0,0
96,0.773,19.416487838947603,0,0.20749622643520266,0,0,0,0,-1,0,1,0,0,0,1
97,0.3,28.844410203711917,0,0.5880026035475675,0,0,0,0,-1,0,1,0,0,0,0
98,0.32,26.47640458974745,0,0.18998828791871566,0,0,0,0,-1,0,1,0,0,0,0
99,3.08,61.522353661088104,0,0.1304033078891334,0,1,0,0,-1,0,0,0,0,0,0
100,0.5329999999999999,1.4142135623730951,0,0.7853981633974483,0,1,0,0,-1,0,0,0,0,0,1
101,0.653,15.0,0,0.9272952180016122,0,0,0,0,-1,0,1,0,0,0,0
102,0.733,24.186773244895647,0,0.12435499454676145,0,0,0,0,-1,0,1,0,0,0,0
103,0.6,11.31370849898476,0,0.7853981633974483,0,1,0,0,-1,0,0,0,0,0,0
104,0.52,9.433981132056603,0,1.012197011451334,0,0,0,0,-1,0,0,1,0,0,0
105,1.44,32.69556544854363,0,0.4089078289509254,0,0,0,0,-1,0,1,0,0,0,0
106,0.813,26.925824035672523,0,0.5467888408892474,0,0,0,0,-1,0,1,0,0,0,0
107,1.24,25.612496949731394,0,0.6747409422235527,0,0,0,0,-1,0,1,0,0,0,0
108,0.5329999999999999,27.018512172212592,0,0.037020115873930025,0,0,0,0,-1,0,1,0,0,0,0
109,1.693,15.556349186104045,0,0.7853981633974483,0,0,0,0,-1,1,0,0,0,0,0
110,0.33299999999999996,3.1622776601683795,0,1.2490457723982544,0,0,0,0,-1,0,1,0,0,0,1
111,0.973,21.02379604162864,1,1.1284221038181517,0,0,0,0,-1,0,1,0,0,0,0
112,0.2,15.620499351813306,0,0.8760580505981934,0,1,0,0,-1,0,0,0,0,0,0
113,1.133,27.802877548915692,0,0.6578886051822099,0,0,0,0,-1,0,1,0,0,0,0
114,0.56,13.152946437965904,1,1.4181469983996315,0,1,0,0,-1,0,0,0,0,0,0
115,1.7730000000000001,34.539832078341085,0,0.38588266939807375,0,0,0,0,-1,0,1,0,0,0,0
116,1.6130000000000002,15.0,0,0.0,0,0,0,0,-1,1,0,0,0,0,0
117,0.893,8.94427190999916,0,0.4636476090008061,0,0,0,0,-1,0,1,0,0,0,0
118,0.6,31.320919526731647,0,0.2914567944778671,0,0,0,0,-1,0,1,0,0,0,0
119,0.32,18.027756377319946,0,1.231503712340852,0,0,0,0,-1,0,0,1,0,0,0
120,0.479,20.808652046684813,0,0.6146629519221656,0,1,0,0,-1,0,0,0,0,0,0
121,1.973,29.0,0,0.7610127542247297,0,0,0,0,-1,0,1,0,0,0,0
122,0.92,27.202941017470888,0,0.2984989315861793,0,0,0,0,-1,0,1,0,0,0,0
123,1.68,27.892651361962706,0,0.2536740961386427,0,0,0,0,-1,0,1,0,0,0,0
124,0.76,28.0,0,0.0,0,1,0,0,-1,0,0,0,0,0,0
125,1.2,24.041630560342607,0,0.29544083714372,0,1,0,0,-1,0,0,0,0,0,0
126,1.215,32.202484376209235,0,0.6310793874713292,0,0,0,0,-1,0,1,0,0,0,1
127,0.76,2.8284271247461903,0,0.7853981633974483,0,0,0,0,-1,0,1,0,0,0,0
128,0.16,20.223748416156685,0,0.14888994760949725,0,0,0,0,-1,0,1,0,0,0,0
129,2.133,41.59326868617085,0,0.16910122600137706,0,0,0,0,-1,0,1,0,0,0,0
