duration,pass_aerial_won,pass_angle,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_height_name,pass_length,pass_switch,pass_through_ball,play_pattern_name,shot_aerial_won,shot_body_part_name,shot_first_time,shot_one_on_one,shot_open_goal,shot_technique_name,under_pressure,goal,distance,angle,build_up_duration,direct_free_kick,shot_cone,num_players_in_shot_cone,distance_to_nearest_opponent,pass_angle_na,pass_length_na,distance_to_nearest_opponent_na
0.6,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,foot,1,0,0,Volley,0,0,22.627416997969522,0.7853981633974483,8.200000000000001,0,64.0,1,5.0,True,True,False
0.293,0,0.0,,0,0,0,,0.0,0,0,From Counter,0,foot,1,0,0,Half Volley,0,0,12.727922061357855,0.7853981633974483,23.826,0,36.0,0,37.20215047547655,True,True,True
0.42,0,0.0,,0,0,0,,0.0,0,0,From Counter,0,foot,0,0,0,Normal,0,0,23.769728648009426,0.388318718172466,10.34,0,88.0,1,11.661903789690601,True,True,False
1.213,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,33.015148038438355,0.0302937599187751,1.6669999999999998,1,132.0,1,11.180339887498949,True,True,False
0.213,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,foot,0,0,0,Normal,0,0,22.47220505424423,0.36397895650964407,6.627,0,84.0,0,8.602325267042627,True,True,False
1.905,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,foot,0,0,0,Normal,0,0,30.59411708155671,0.19739555984988078,1.2950000000000002,0,120.0,0,14.142135623730951,True,True,False
1.013,0,0.0,,0,0,0,,0.0,0,0,From Keeper,0,foot,1,0,0,Normal,0,0,27.80287754891569,0.9129077216126866,40.946000000000005,0,68.0,1,10.770329614269007,True,True,False
1.28,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,1,0,16.492422502470642,0.24497866312686414,1.6789999999999996,0,64.0,0,6.708203932499369,True,True,False
2.427,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,1,0,0,Half Volley,0,0,25.0,0.28379410920832787,16.613,1,96.0,0,9.219544457292887,True,True,False
0.6,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,28.460498941515414,0.3217505543966422,16.933,1,108.0,1,3.605551275463989,True,True,False
1.067,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,33.06055050963308,0.060532019782107135,43.533,1,132.0,1,8.54400374531753,True,True,False
1.533,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,head,0,0,0,Normal,0,0,15.811388300841896,0.3217505543966422,5.026,0,60.0,1,6.4031242374328485,True,True,False
0.44,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,0,16.0312195418814,0.06241880999595735,11.48,0,64.0,0,10.816653826391969,True,True,False
1.813,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Half Volley,0,0,26.40075756488817,0.4297622790966885,10.267,1,96.0,2,12.165525060596439,True,True,False
0.493,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,0,10.198039027185569,1.373400766945016,6.600999999999999,0,8.0,0,16.97056274847714,True,True,False
1.733,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,foot,1,0,0,Volley,0,1,24.20743687382041,0.9025069079643125,18.507,0,60.0,0,3.605551275463989,True,True,False
1.973,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,26.92582403567252,0.5467888408892474,-0.6400000000000001,1,92.0,1,8.94427190999916,True,True,False
0.547,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,26.1725046566048,0.11487660541689915,18.253,1,104.0,1,4.47213595499958,True,True,False
0.453,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,27.313000567495326,0.41450687458478597,23.067,1,100.0,1,9.486832980505138,True,True,False
0.933,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,31.89043743820395,0.7188299996216245,22.747,1,96.0,0,4.0,True,True,False
0.4,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,foot,1,0,0,Half Volley,0,0,27.730849247724095,0.44751997515716985,33.653,0,100.0,0,4.0,True,True,False
1.253,0,0.0,,0,0,0,,0.0,0,0,From Corner,0,foot,0,0,0,Normal,1,0,33.52610922848042,0.3028848683749714,52.879,0,128.0,1,15.0,True,True,False
0.973,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,foot,1,0,0,Half Volley,0,0,27.85677655436824,0.3671738338182192,33.067,0,104.0,1,5.656854249492381,True,True,False
0.453,0,0.0,,0,0,0,,0.0,0,0,From Corner,0,foot,0,0,0,Normal,0,0,8.06225774829855,1.0516502125483738,5.427,0,16.0,0,5.385164807134504,True,True,False
1.547,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Backheel,0,0,7.280109889280518,1.2924966677897853,0.9060000000000004,0,8.0,0,13.416407864998739,True,True,False
1.24,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,39.824615503479755,0.6786624907483126,2.3600000000000003,1,124.0,1,2.8284271247461903,True,True,False
1.373,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,0,29.832867780352597,0.23684876094692026,8.827,0,116.0,1,3.0,True,True,False
0.28,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,0,29.732137494637012,0.3430239404207034,5.733,0,112.0,1,12.165525060596439,True,True,False
0.933,0,0.0,,0,0,0,,0.0,0,0,From Counter,0,foot,0,1,0,Normal,0,0,15.231546211727817,1.1659045405098132,2.0279999999999996,0,24.0,0,14.317821063276353,True,True,False
0.227,0,0.0,,0,0,0,,0.0,0,0,From Counter,0,foot,1,0,1,Volley,0,1,1.4142135623730951,0.7853981633974483,19.213,0,4.0,0,14.7648230602334,True,True,False
1.76,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,1,0,0,Volley,0,0,13.601470508735444,0.9420000403794636,40.613,0,32.0,0,7.810249675906654,True,True,False
1.32,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,33.13608305156178,0.09065988720074511,3.173,1,132.0,1,10.44030650891055,True,True,False
1.133,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,1,0,0,Volley,0,0,23.0,0.0,9.067,1,92.0,1,3.1622776601683795,True,True,False
1.893,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,36.49657518178932,0.16514867741462683,21.666,1,144.0,1,3.605551275463989,True,True,False
1.0,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,foot,1,0,0,Half Volley,0,0,25.495097567963924,0.19739555984988078,5.2,0,100.0,0,8.48528137423857,True,True,False
0.693,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,head,0,0,0,Diving Header,0,0,12.727922061357855,0.7853981633974483,1.0670000000000002,0,36.0,0,8.0,True,True,False
1.853,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,foot,0,0,0,Volley,0,0,19.924858845171276,0.30587887140485215,11.92,0,76.0,0,5.0,True,True,False
1.0,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,25.0,0.28379410920832787,-1.0,1,96.0,1,2.8284271247461903,True,True,False
0.52,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,foot,0,0,0,Half Volley,0,0,12.0,0.0,10.96,0,48.0,0,4.47213595499958,True,True,False
0.627,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,1,1,Normal,0,1,7.0,0.0,6.933,0,28.0,0,37.20215047547655,True,True,True
0.32,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Half Volley,0,0,36.68787265568828,0.3045108832021125,14.319999999999999,1,140.0,0,7.0710678118654755,True,True,False
0.98,0,0.0,,0,0,0,,0.0,0,0,From Corner,0,foot,1,0,0,Normal,1,0,10.0,0.6435011087932844,13.379999999999999,0,32.0,0,2.8284271247461903,True,True,False
0.44,0,0.0,,0,0,0,,0.0,0,0,From Corner,0,foot,1,0,0,Half Volley,0,0,28.231188426986208,0.40024065703397416,21.186999999999998,0,104.0,0,7.615773105863909,True,True,False
2.093,0,0.0,,0,0,0,,0.0,0,0,From Corner,0,foot,1,0,0,Half Volley,0,0,22.47220505424423,0.36397895650964407,22.56,0,84.0,1,8.602325267042627,True,True,False
0.493,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,31.144823004794873,0.8308214428190254,11.386999999999999,1,84.0,1,4.242640687119285,True,True,False
0.733,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,1,15.811388300841896,0.3217505543966422,-0.733,0,60.0,0,8.602325267042627,True,True,False
0.8,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,1,0,0,Volley,0,0,26.248809496813376,0.866302262552679,4.28,0,68.0,0,11.180339887498949,True,True,False
0.32,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,24.413111231467404,0.6107259643892086,18.8,1,80.0,0,3.605551275463989,True,True,False
0.92,0,0.0,,0,0,0,,0.0,0,0,From Keeper,0,foot,1,0,0,Normal,0,1,19.4164878389476,0.20749622643520266,21.973,0,76.0,1,8.06225774829855,True,True,False
1.48,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,0,33.37663853655727,0.15037142800713454,51.040000000000006,0,132.0,1,5.0990195135927845,True,True,False
1.44,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,1,0,0,Half Volley,0,1,24.186773244895647,0.5191461142465229,10.2,0,84.0,1,13.341664064126334,True,True,False
1.24,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,1,24.331050121192877,0.16514867741462683,-1.24,1,96.0,0,4.0,True,True,False
0.227,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,1,0,0,Half Volley,0,0,24.73863375370596,0.24497866312686414,42.173,0,96.0,1,3.0,True,True,False
1.8,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,foot,0,0,0,Normal,0,0,10.44030650891055,1.2793395323170296,1.16,0,12.0,0,3.0,True,True,False
0.32,0,0.0,,0,0,0,,0.0,0,0,From Corner,0,foot,1,0,0,Volley,0,0,25.495097567963924,0.19739555984988078,9.96,0,100.0,1,10.198039027185569,True,True,False
0.32,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,head,0,0,0,Normal,0,0,8.06225774829855,0.12435499454676144,1.4149999999999998,0,32.0,0,9.433981132056603,True,True,False
1.053,0,0.0,,0,0,0,,0.0,0,0,From Corner,0,foot,0,0,0,Half Volley,0,0,25.0,0.0,6.827,0,100.0,1,11.40175425099138,True,True,False
0.763,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,1,0,0,Normal,0,0,14.317821063276353,0.21109333322274654,4.29,0,56.0,2,9.848857801796104,True,True,False
0.813,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,1,0,28.071337695236398,0.07130746478529032,15.667,0,112.0,0,12.36931687685298,True,True,False
0.627,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,foot,1,0,0,Half Volley,0,1,8.0,0.0,-0.627,0,32.0,0,7.211102550927978,True,True,False
0.32,0,0.0,,0,0,0,,0.0,0,0,From Counter,0,foot,0,0,0,Normal,0,0,21.95449840010015,0.5247957716501074,92.56,0,76.0,0,11.180339887498949,True,True,False
0.187,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,1,0,0,Volley,0,0,22.80350850198276,0.9097531579442097,1.773,1,56.0,0,16.401219466856727,True,True,False
1.173,0,0.0,,0,0,0,,0.0,0,0,From Corner,0,foot,1,0,0,Volley,0,0,29.732137494637012,0.7378150601204649,6.507,0,88.0,0,12.649110640673518,True,True,False
1.733,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,1,0,37.64306044943742,0.29654580906970046,5.2669999999999995,0,144.0,3,13.038404810405298,True,True,False
0.707,0,0.0,,0,0,0,,0.0,0,0,From Corner,0,foot,0,0,0,Normal,1,0,30.805843601498726,0.6240230529767569,1.8930000000000002,0,100.0,1,8.06225774829855,True,True,False
0.402,0,0.0,,0,0,0,,0.0,0,0,From Throw In,0,foot,1,0,0,Half Volley,0,0,25.495097567963924,0.44610554894340365,4.662999999999999,0,92.0,1,3.1622776601683795,True,True,False
1.013,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Half Volley,0,0,22.847319317591726,0.4048917862850834,45.480000000000004,1,84.0,0,9.055385138137417,True,True,False
1.16,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,1,0,0,Normal,0,1,30.805843601498726,0.6240230529767569,22.373,0,100.0,0,10.0,True,True,False
1.413,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,0,25.553864678361276,1.0370881351556351,5.3469999999999995,0,52.0,0,9.219544457292887,True,True,False
1.613,0,0.0,,0,0,0,,0.0,0,0,From Corner,0,foot,0,0,0,Normal,0,0,34.23448553724738,0.11710874456686428,8.267,0,136.0,0,9.433981132056603,True,True,False
0.693,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,27.85677655436824,0.3671738338182192,25.133,1,104.0,0,2.8284271247461903,True,True,False
0.44,0,0.0,,0,0,0,,0.0,0,0,From Corner,0,foot,0,0,0,Normal,0,0,12.36931687685298,0.24497866312686414,8.040000000000001,0,48.0,0,6.708203932499369,True,True,False
0.453,0,0.0,,0,0,0,,0.0,0,0,From Corner,0,foot,0,0,0,Volley,0,1,7.211102550927978,0.982793723247329,24.934,0,16.0,2,2.0,True,True,False
0.973,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,1,0,0,Volley,0,0,27.202941017470888,0.2984989315861793,11.959999999999999,0,104.0,2,11.40175425099138,True,True,False
0.267,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,0,22.80350850198276,0.2662520491509253,28.28,0,88.0,0,3.605551275463989,True,True,False
0.92,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,1,0,0,Overhead Kick,0,0,4.242640687119285,0.7853981633974483,12.373,1,12.0,4,2.8284271247461903,True,True,False
1.133,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,1,0,0,Normal,0,0,6.082762530298219,0.16514867741462683,-0.573,1,24.0,5,2.23606797749979,True,True,False
1.533,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,29.966648127543394,0.4487233440107211,11.4,1,108.0,0,2.8284271247461903,True,True,False
1.4,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,24.73863375370596,0.24497866312686414,35.16,1,96.0,1,12.083045973594572,True,True,False
1.293,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,26.92582403567252,0.3805063771123649,7.867,1,100.0,0,6.4031242374328485,True,True,False
1.213,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,19.313207915827967,0.37089128881266237,8.600000000000001,1,72.0,1,3.0,True,True,False
0.453,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,0,27.294688127912362,0.49642275340488184,6.066999999999999,0,96.0,1,3.1622776601683795,True,True,False
0.4,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,0,22.627416997969522,0.7853981633974483,47.426,1,64.0,0,9.0,True,True,False
0.92,0,0.0,,0,0,0,,0.0,0,0,From Free Kick,0,foot,0,0,0,Normal,0,1,9.219544457292887,0.21866894587394195,7.147,1,36.0,0,5.0,True,True,False
0.573,0,0.0,,0,0,0,,0.0,0,0,From Goal Kick,0,foot,0,0,0,Normal,0,0,6.4031242374328485,0.8960553845713439,-0.573,0,16.0,0,11.180339887498949,True,True,False
0.96,0,0.0,,0,0,0,,0.0,0,0,Regular Play,0,foot,0,0,0,Normal,0,1,12.806248474865697,0.8960553845713439,6.147,0,32.0,1,4.47213595499958,True,True,False
